简码：一	y
简码：三	s
简码：上	u
简码：不	b
简码：为	w
简码：二	e
简码：会	h
简码：偶	o
简码：发	f
简码：她	t
简码：安	a
简码：平	p
简码：像	x
简码：成	i
简码：才	c
简码：来	l
简码：没	m
简码：看	k
简码：着	v
简码：给	g
简码：见	j
简码：让	r
简码：再	z
简码：起	q
简码：哪	n
简码：都	d
偏旁：㔾	㔾部
偏旁：丬	爿部
偏旁：丷	倒八
偏旁：丷	八部
偏旁：亠	亠部
偏旁：冂	冂部
偏旁：冖	冖部
偏旁：冫	冫部
偏旁：凵	凵部
偏旁：刂	刀部
偏旁：刂	立刀
偏旁：匚	三框
偏旁：卩	卩部
偏旁：厂	偏厂
偏旁：厂	厂部
偏旁：厶	厶部
偏旁：囗	方框
偏旁：土	土部
偏旁：夂	夂部
偏旁：夂	折文
偏旁：子	子部
偏旁：宀	宀部
偏旁：宀	宝盖
偏旁：尢	尢部
偏旁：巛	三拐
偏旁：巛	巛部
偏旁：幺	幺部
偏旁：广	广部
偏旁：廴	廴部
偏旁：廾	廾部
偏旁：彐	彐部
偏旁：彐	横山
偏旁：彡	三撇
偏旁：彡	彡部
偏旁：彳	彳部
偏旁：忄	心部
偏旁：忄	竖心
偏旁：扌	手部
偏旁：攵	反文
偏旁：氵	水部
偏旁：犭	犬部
偏旁：王	玉部
偏旁：疒	病旁
偏旁：皿	皿墩
偏旁：礻	示补
偏旁：纟	糸部
偏旁：纟	绞丝
偏旁：艹	艸部
偏旁：艹	草头
偏旁：衤	衣补
偏旁：讠	言部
偏旁：辶	走之
偏旁：辶	辵部
偏旁：阝	邑部
偏旁：阝	阜部
偏旁：饣	食部
货币：$	美刀
货币：💲	美元
货币：💴	日元
货币：￥	日币
货币：MOP$	葡币
货币：S$	新加坡元
货币：S$	新加坡币
符号：+∞	正无穷
符号：-∞	负无穷
符号：1	百分之百
符号：m²	平方米
符号：m³	立方米
符号：¹⁰	十次方
符号：¼	四分之一
符号：½	二分之一
符号：¾	四分之三
符号：——	破折号
符号：⅐	七分之一
符号：⅑	九分之一
符号：⅒	十分之一
符号：⅓	三分之一
符号：⅔	三分之二
符号：⅕	五分之一
符号：⅖	五分之二
符号：⅗	五分之三
符号：⅘	五分之四
符号：⅙	六分之一
符号：⅚	六分之五
符号：⅛	八分之一
符号：⅜	八分之三
符号：⅝	八分之五
符号：⅞	八分之七
符号：≤	小于等于
符号：≥	大于等于
偏旁：⺁	反字框
偏旁：⺈	斜刀头
偏旁：⺈	负字头
偏旁：⺮	竹字头
偏旁：⺶	羊字旁
偏旁：⺷	羊字头
偏旁：⻊	足字旁
偏旁：㔾	仓字底
偏旁：丆	石字头
偏旁：丬	将字旁
偏旁：丷	倒八字
偏旁：丷	八字头
偏旁：丷	八字底
偏旁：丷	兰字头
偏旁：亠	京字头
偏旁：亻	人字旁
偏旁：亻	单人旁
偏旁：亻	单立人
偏旁：冂	同字框
偏旁：冖	秃宝盖
偏旁：冫	两点水
偏旁：冫	冰字旁
偏旁：凵	凶字框
偏旁：刂	立刀旁
偏旁：勹	包字头
偏旁：匚	三框儿
偏旁：匚	区字框
偏旁：卩	单耳刀
偏旁：卩	单耳旁
偏旁：卩	单耳朵
偏旁：卩	耳刀旁
偏旁：厂	偏厂儿
偏旁：厂	厂字头
偏旁：厶	私字旁
偏旁：囗	国字框
偏旁：囗	大口框
偏旁：土	土字底
偏旁：土	土字旁
偏旁：土	提土旁
偏旁：夂	冬字头
偏旁：夂	折文儿
偏旁：夂	折文旁
偏旁：子	子字旁
偏旁：宀	宝盖儿
偏旁：宀	宝盖头
偏旁：尢	尤字旁
偏旁：巛	三拐儿
偏旁：幺	幼字旁
偏旁：广	广字旁
偏旁：廴	建之旁
偏旁：廾	弄字底
偏旁：彐	雪字底
偏旁：彡	三撇儿
偏旁：彳	双人旁
偏旁：彳	双立人
偏旁：忄	竖心旁
偏旁：扌	提手旁
偏旁：攵	反文旁
偏旁：春	春字头
偏旁：木	木字旁
偏旁：氵	三点水
偏旁：火	火字旁
偏旁：灬	四点底
偏旁：灬	四点水
偏旁：灬	四点火
偏旁：爫	爪字头
偏旁：牜	牛字旁
偏旁：犭	反犬旁
偏旁：王	斜玉旁
偏旁：王	王字旁
偏旁：疒	病字头
偏旁：疒	病字旁
偏旁：癶	登字头
偏旁：皿	皿墩儿
偏旁：皿	皿字底
偏旁：礻	示字旁
偏旁：礻	示补儿
偏旁：禾	禾木旁
偏旁：米	米字旁
偏旁：纟	乱绞丝
偏旁：纟	绞丝儿
偏旁：纟	绞丝底
偏旁：纟	绞丝旁
偏旁：罒	四字头
偏旁：罒	扁四头
偏旁：耂	老字头
偏旁：艹	草字头
偏旁：虍	虎字头
偏旁：衤	衣字旁
偏旁：衤	衣补儿
偏旁：覀	西字头
偏旁：讠	言字旁
偏旁：车	车字旁
偏旁：辶	走之旁
偏旁：钅	金字旁
偏旁：阝	双耳刀
偏旁：阝	双耳旁
偏旁：阝	右耳刀
偏旁：阝	左耳刀
偏旁：饣	食字旁
偏旁：髟	髦字头
偏旁：龹	卷字头
偏旁：𠘨	几字头
偏旁：𠘨	几字底
偏旁：𠘨	凤字框
偏旁：𠘨	风字头
符号：°	度
组字：㐂	三个七
组字：㐨	两个予
组字：㐩	两个井
组字：㒭	两个兄
组字：㒹	两个真
组字：㗊	四个口
组字：㙓	四个土
组字：㚁	两个堯
组字：㚘	两个夫
